ID,Name,Email,year,major,date,time,on_campus,main_reason_for_taking_isb,trips_per_day,duration_per_day,has_exam,start,end,bus_num,weather,num_people_at_bus_stop,waiting_time,waiting_time_satisfaction,crowdedness,crowdedness_satisfaction,comfort,safety,overall_satisfaction
10,Victoria Adams,victoriaadams@example.net,Year 3,dentistry,24/9/2024,1/1/1900 17:00,No,To go for meals,1,20,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,Sunny,30,30,9,7,6,6,5,4
11,Henry Romero,henryromero@example.org,Year 3,dentistry,25/9/2024,1/1/1900 7:30,Yes,"To go to in-school accommodation (halls, RCs, houses etc.)",2,20,Yes,UTown,Kent Ridge MRT / Opp Kent Ridge MRT,D2,Rainy,60,10,8,7,8,6,7,7
12,Corey Cooper,coreycooper@example.net,Year 1,data science and analytics,26/9/2024,1/1/1900 15:00,No,To go to class,2,7,No,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,D2,Rainy,10,5,5,5,6,7,7,7
13,James Park,jamespark@example.com,Year 1,data science and analytics,26/9/2024,1/1/1900 11:00,No,To go to class,2,15,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,Rainy,15,7,8,10,4,7,5,9
14,Elizabeth Hart,elizabethhart@example.net,Year 2,data science and analytics,26/9/2024,1/1/1900 11:00,Yes,To go to class,6,20,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,Sunny,30,4,8,9,3,3,4,5
15,Victor Moore,victormoore@example.net,Year 3,life sciences,26/9/2024,1/1/1900 14:00,No,To go to class,2,20,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,Rainy,30,10,3,7,3,3,5,3
16,Lauren Graham,laurengraham@example.net,Year 3,nursing,26/9/2024,1/1/1900 12:30,No,To go to class,2,40,No,LT27 / S17,IT / CLB,A1,Rainy,40,6,4,8,2,2,6,4
17,Stephen Hudson,stephenhudson@example.com,Year 2,data science and analytics,26/9/2024,1/1/1900 11:00,No,To go to class,2,10,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,Rainy,20,7,6,8,5,6,6,6
18,Matthew Jordan,matthewjordan@example.org,Year 2,business,26/9/2024,1/1/1900 11:45,Yes,To go to class,2,30,No,UTown,BIZ2 / Opp HSSML,D1,Sunny,30,15,4,9,6,4,9,6
19,Nicholas Dickson,nicholasdickson@example.net,Year 2,social work,27/9/2024,1/1/1900 10:02,No,To go to class,5,20,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,Sunny,10,4,8,4,8,7,7,8
20,Gregory Molina DDS,gregorymolinadds@example.net,Year 3,data science and analytics,27/9/2024,1/1/1900 10:00,No,To go to class,2,30,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A2,Sunny,50,5,10,10,5,10,6,7
21,William French,williamfrench@example.com,Year 4,nursing,27/9/2024,1/1/1900 10:00,No,To go to class,2,5,No,LT27 / S17,IT / CLB,A1,Sunny,10,7,5,7,4,4,6,5
22,Crystal Matthews,crystalmatthews@example.org,Year 3,data science and analytics,27/9/2024,1/1/1900 11:00,Yes,To go to class,2,10,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,D2,Sunny,5,1,10,1,10,10,10,10
23,Robert Tran,roberttran@example.net,Year 3,data science and analytics,27/9/2024,1/1/1900 9:00,No,To go to class,2,15,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A2,Rainy,50,20,1,10,1,1,1,1
24,Mary Watson,marywatson@example.org,Year 3,data science and analytics,27/9/2024,1/1/1900 10:30,No,To go to class,2,15,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,Sunny,5,3,7,3,7,7,7,7
25,Hunter Cunningham,huntercunningham@example.net,Year 3,data science and analytics,27/9/2024,1/1/1900 13:00,Yes,To go for meals,4,60,No,UHC / Opp UHC,UTown,D2,Sunny,40,15,3,8,3,3,3,3
26,Daniel Johnson,danieljohnson@example.org,Year 3,data science and analytics,27/9/2024,1/1/1900 18:00,Yes,To go for meals,4,15,No,UHC / Opp UHC,UTown,D2,Sunny,40,20,3,8,3,3,3,3
27,Kimberly Young,kimberlyyoung@example.net,Year 1,computer science,27/9/2024,1/1/1900 12:00,Yes,To go to class,2,60,No,UTown,LT27 / S17,D2,Sunny,30,10,8,4,8,9,9,9
28,Michael Clark,michaelclark@example.net,Year 3,life sciences,27/9/2024,1/1/1900 11:45,No,To go to class,2,10,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,Sunny,6,0,10,5,8,7,8,8
29,James Lamb,jameslamb@example.org,Year 1,geography,27/9/2024,1/1/1900 14:00,Yes,To go to class,2,10,No,UTown,LT27 / S17,D2,Sunny,10,3,8,3,8,8,8,8
30,Brenda Hall,brendahall@example.org,Year 1,geography,27/9/2024,1/1/1900 14:00,Yes,To go to class,2,10,No,UTown,LT27 / S17,D2,Rainy,35,20,2,9,2,2,2,2
31,Martin Giles,martingiles@example.org,Year 3,psychology,27/9/2024,1/1/1900 10:00,No,To go to class,2,10,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,Sunny,20,5,7,7,7,7,9,7
32,Michelle Baker,michellebaker@example.org,Year 2,computer science,27/9/2024,1/1/1900 11:00,No,To go to class,2,15,No,Kent Ridge MRT / Opp Kent Ridge MRT,COM3,D2,Sunny,20,10,10,5,5,5,7,7
33,Thomas Hunter,thomashunter@example.org,Year 3,data science and analytics,27/9/2024,1/1/1900 10:00,No,To go to class,2,30,No,Kent Ridge MRT / Opp Kent Ridge MRT,UTown,D2,Sunny,50,6,8,5,5,6,5,5
34,Jessica Holmes,jessicaholmes@example.org,Year 3,data science and analytics,27/9/2024,1/1/1900 10:30,No,To go to class,3,30,No,Kent Ridge MRT / Opp Kent Ridge MRT,UTown,D2,Sunny,10,8,5,3,8,5,9,6
35,Jennifer Burnett,jenniferburnett@example.org,Year 2,data science and analytics,27/9/2024,1/1/1900 15:00,No,To go to CCA sessions,4,18,No,UTown,UHC / Opp UHC,D2,Sunny,15,5,7,5,7,6,6,6
36,Brianna Byrd,briannabyrd@example.net,Year 1,mathematics,27/9/2024,1/1/1900 15:30,Yes,To go to class,4,30,No,LT27 / S17,IT / CLB,A1,Sunny,50,8,7,8,5,4,7,6
37,Randy Hinton,randyhinton@example.com,Year 4,chemistry,27/9/2024,1/1/1900 7:30,No,To go to class,2,5,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,Rainy,20,5,5,8,5,5,9,7
38,Thomas Mcknight,thomasmcknight@example.org,Year 1,law,28/9/2024,1/1/1900 8:30,No,To go to class,2,30,No,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,A1,Sunny,20,10,6,8,4,6,8,7
39,Justin Keller,justinkeller@example.com,Year 2,computer science,29/9/2024,1/1/1900 13:12,Yes,To go to class,2,30,No,UTown,LT27 / S17,D2,Sunny,10,10,6,7,5,8,6,5
40,Dr. Heather Benton,dr.heatherbenton@example.com,Year 1,data science and analytics,30/9/2024,1/1/1900 7:35,No,To go to class,4,30,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,Rainy,30,6,5,8,4,5,7,7
41,John Andrews,johnandrews@example.org,Year 3,data science and analytics,30/9/2024,1/1/1900 9:30,No,To go to class,3,35,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,UTown,D2,Sunny,30,3,8,8,3,4,7,6
42,Edward Berry,edwardberry@example.org,Year 3,data science and analytics,30/9/2024,1/1/1900 11:30,No,To go to class,4,30,Yes,UTown,UHC / Opp UHC,D2,Sunny,30,2,9,5,8,8,9,9
43,Deanna Howard,deannahoward@example.com,Year 1,data science and analytics,30/9/2024,1/1/1900 7:45,No,To go to MRT,2,10,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,A2,Rainy,25,10,3,3,2,3,3,2
44,Barbara Wilson,barbarawilson@example.net,Year 1,sociology,30/9/2024,1/1/1900 9:00,Yes,To go to class,4,15,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,D2,Sunny,5,7,4,4,4,4,5,4
45,Andrew Choi,andrewchoi@example.org,Year 3,data science and analytics,30/9/2024,1/1/1900 13:50,No,To go to MRT,2,25,Yes,UHC / Opp UHC,LT27 / S17,D2,Sunny,35,5,7,9,3,3,6,4
46,Shannon Williams,shannonwilliams@example.org,Year 3,data science and analytics,30/9/2024,1/1/1900 14:00,Yes,To go to class,2,10,Yes,UHC / Opp UHC,LT27 / S17,A2,Sunny,10,3,8,4,9,8,8,8
47,John Watkins,johnwatkins@example.com,Year 1,data science and analytics,30/9/2024,1/1/1900 9:30,No,To go to class,1,5,No,LT27 / S17,UTown,D2,Sunny,20,5,7,10,5,5,6,6
48,Francisco Wilson,franciscowilson@example.com,Year 2,computer science,30/9/2024,1/1/1900 17:00,No,To go to class,1,5,No,COM3,Kent Ridge MRT / Opp Kent Ridge MRT,D2,Sunny,25,5,7,7,7,7,8,7
49,Amber Jones,amberjones@example.com,Year 2,computer science,30/9/2024,1/1/1900 13:30,No,To go to class,2,30,No,LT27 / S17,LT13 / Ventus,A2,Sunny,10,4,6,8,5,4,5,6
50,Anthony Singh,anthonysingh@example.org,Year 2,computer science,30/9/2024,1/1/1900 16:00,No,To go to class,2,10,No,COM3,LT27 / S17,D2,Sunny,35,7,5,8,6,5,5,6
51,Kenneth Peterson,kennethpeterson@example.net,Year 2,economics,30/9/2024,1/1/1900 11:55,Yes,To go to class,4,30,Yes,PGP,UTown,D2,Sunny,10,10,7,5,3,6,8,6
52,Harry Boyd,harryboyd@example.org,Year 2,data science and analytics,30/9/2024,1/1/1900 11:40,Yes,To go to MRT,4,10,Yes,UHC / Opp UHC,LT27 / S17,D2,Sunny,20,10,6,9,5,5,8,7
53,Richard Oneill,richardoneill@example.net,Year 2,data science and analytics,1/10/2024,1/1/1900 21:00,Yes,"To go to in-school accommodation (halls, RCs, houses etc.)",2,10,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,A1,Sunny,10,5,8,3,8,8,8,8
54,Roger Bailey,rogerbailey@example.org,Year 2,data science and analytics,1/10/2024,1/1/1900 10:00,Yes,To go to class,2,15,No,Kent Ridge MRT / Opp Kent Ridge MRT,BIZ2 / Opp HSSML,A1,Sunny,20,8,6,6,5,5,5,5
55,Colton Taylor,coltontaylor@example.net,Year 2,history,1/10/2024,1/1/1900 10:30,No,To go to class,4,20,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,Sunny,20,10,4,9,4,4,4,4
56,Angela Baird,angelabaird@example.net,Year 3,data science and analytics,1/10/2024,1/1/1900 11:30,No,To go to MRT,3,35,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,Sunny,15,8,4,2,8,8,9,8
57,Alexandra Mitchell,alexandramitchell@example.com,Year 3,data science and analytics,1/10/2024,1/1/1900 16:00,No,To go to class,2,25,Yes,LT13 / Ventus,Kent Ridge MRT / Opp Kent Ridge MRT,A1,Sunny,20,5,6,8,3,4,7,6
58,Anna Chaney,annachaney@example.net,Year 4,mechanical engineering,1/10/2024,1/1/1900 11:15,No,All of the above,2,10,No,IT / CLB,UTown,D1,Rainy,20,7,5,9,5,5,5,5
59,Nathan Rios,nathanrios@example.org,Year 3,data science and analytics,1/10/2024,1/1/1900 15:40,No,To go to class,3,40,Yes,LT13 / Ventus,LT27 / S17,A1,Sunny,40,4,6,9,6,8,9,10
60,Jordan Martinez,jordanmartinez@example.org,Year 1,political science,1/10/2024,1/1/1900 18:00,No,To go to CCA sessions,1,5,No,IT / CLB,UHC / Opp UHC,A2,Sunny,30,5,7,9,5,2,7,6
61,Joel Olson,joelolson@example.com,Year 1,malay studies,1/10/2024,1/1/1900 11:40,No,To go to class,1,10,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A2,Sunny,45,1,8,9,4,4,7,7
62,Kara James,karajames@example.net,Year 1,anthropology,1/10/2024,1/1/1900 15:40,No,To go to CCA sessions,1,5,No,IT / CLB,LT27 / S17,A2,Sunny,30,4,10,8,6,4,10,9
63,Heather Alexander,heatheralexander@example.org,Year 1,life sciences,1/10/2024,1/1/1900 9:50,No,To go to class,2,15,No,IT / CLB,LT27 / S17,A2,Sunny,0,8,3,1,10,10,10,6
64,Mr. Charles Brown,mr.charlesbrown@example.com,Year 3,geography,1/10/2024,1/1/1900 8:22,No,To go to class,2,15,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,Sunny,18,5,7,4,5,7,8,7
65,Angela Moore MD,angelamooremd@example.org,Year 1,pharmaceutical science,1/10/2024,1/1/1900 9:40,Yes,To go to class,3,60,No,LT13 / Ventus,LT27 / S17,A1,Sunny,10,4,7,4,6,7,8,8
66,Nicole Hill,nicolehill@example.org,Year 4,economics,1/10/2024,1/1/1900 14:00,No,To go to class,2,10,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,Sunny,25,5,8,6,8,8,9,8
67,Alyssa Rivera,alyssarivera@example.net,Year 4,data science and analytics,1/10/2024,1/1/1900 15:45,No,To go to MRT,2,10,No,UHC / Opp UHC,LT27 / S17,D2,Sunny,30,5,6,9,2,6,6,6
68,Vincent Ward,vincentward@example.com,Year 3,life sciences,1/10/2024,1/1/1900 11:48,No,To go to class,2,10,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,D2,Rainy,10,3,8,5,8,8,8,9
69,Jonathan Brown,jonathanbrown@example.net,Year 2,data science and analytics,2/10/2024,1/1/1900 12:15,No,To go for meals,4,20,No,LT27 / S17,UTown,D2,Sunny,30,15,3,9,3,3,3,4
70,Alexander Cross,alexandercross@example.org,Year 1,nursing,2/10/2024,1/1/1900 12:45,No,To go to class,1,10,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A2,Sunny,8,12,6,8,4,3,3,5
71,Alison Bryant,alisonbryant@example.com,Year 4,history,2/10/2024,1/1/1900 7:50,No,To go to class,2,22,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,Sunny,25,4,8,8,7,7,7,7
72,Jared Henson,jaredhenson@example.net,Year 4,mechanical engineering,2/10/2024,1/1/1900 10:00,No,To go to class,3,15,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,Sunny,10,2,8,5,7,7,8,8
73,Brian Dickson,briandickson@example.net,Year 4,biomedical engineering,2/10/2024,1/1/1900 10:30,No,To go to class,4,20,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,Sunny,30,12,2,7,3,3,6,3
74,Mary Wall,marywall@example.org,Year 2,quantitative finance,2/10/2024,1/1/1900 8:50,No,To go to class,3,30,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,D2,Sunny,30,1,10,8,7,6,10,7
75,Johnny Bass,johnnybass@example.org,Year 3,environmental engineering,2/10/2024,1/1/1900 11:45,No,To go to class,2,7,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,Sunny,30,8,1,8,4,4,5,5
76,Rodney Nicholson,rodneynicholson@example.net,Year 4,psychology,2/10/2024,1/1/1900 9:00,No,To go to class,3,15,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,D2,Sunny,30,13,2,10,2,2,3,2
77,David Russell,davidrussell@example.org,Year 3,data science and analytics,2/10/2024,1/1/1900 13:10,No,To go to class,3,30,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,Sunny,15,6,5,7,5,6,8,7
78,Paul Henry,paulhenry@example.com,Year 3,statistics,2/10/2024,1/1/1900 18:00,No,To go to class,1,5,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A2,Sunny,10,5,5,6,6,5,5,5
79,Kevin Lawson,kevinlawson@example.net,Year 4,materials science and engineering,2/10/2024,1/1/1900 8:10,No,To go to class,2,15,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,UTown,D2,Sunny,15,1,10,2,9,10,10,10
80,Felicia Brooks,feliciabrooks@example.com,Year 4,materials science and engineering,2/10/2024,1/1/1900 7:53,No,To go to class,2,12,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,D2,Sunny,15,5,7,5,8,9,9,8
81,Michael Bennett,michaelbennett@example.com,Year 1,environmental studies,2/10/2024,1/1/1900 12:30,No,To go to class,4,40,Yes,LT27 / S17,UHC / Opp UHC,D2,Sunny,30,6,6,9,5,5,10,5
82,Louis Grant,louisgrant@example.com,Year 3,data science and analytics,3/10/2024,1/1/1900 10:30,No,To go to class,2,40,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,Sunny,60,3,8,10,3,5,9,7
83,Danny Jacobs,dannyjacobs@example.org,Year 3,data science and analytics,3/10/2024,1/1/1900 12:30,No,To go to class,4,40,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,COM3,D2,Rainy,15,6,5,6,7,7,8,8
84,Mark Stephenson,markstephenson@example.org,Year 3,life sciences,3/10/2024,1/1/1900 9:30,No,To go for meals,0,15,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,D2,Sunny,50,10,4,10,2,3,7,5
85,Megan Smith,megansmith@example.com,Year 4,psychology,3/10/2024,1/1/1900 18:24,No,To go to MRT,2,5,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,D2,Sunny,10,0,9,5,9,10,10,10
86,William Roberts,williamroberts@example.org,Year 3,data science and analytics,3/10/2024,1/1/1900 10:40,No,To go to class,2,30,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,UTown,D2,Sunny,40,8,6,6,4,5,7,7
87,Anna Johnson,annajohnson@example.org,Year 3,data science and analytics,3/10/2024,1/1/1900 18:00,No,To go to class,4,25,Yes,LT27 / S17,UHC / Opp UHC,D2,Sunny,25,2,8,7,4,6,8,6
88,David Hansen,davidhansen@example.com,Year 1,sociology,3/10/2024,1/1/1900 9:25,Yes,To go to class,2,5,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,D2,Sunny,25,6,4,8,3,3,4,4
89,Meredith Lee,meredithlee@example.net,Year 1,data science and analytics,3/10/2024,1/1/1900 9:20,No,To go to class,1,10,Yes,LT27 / S17,UHC / Opp UHC,D2,Sunny,15,3,7,3,6,7,7,7
90,Casey Humphrey,caseyhumphrey@example.com,Year 3,anthropology,3/10/2024,1/1/1900 15:00,No,To go to class,2,35,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,A1,Sunny,25,5,7,8,6,5,8,7
91,James Payne,jamespayne@example.org,Year 2,environmental studies,3/10/2024,1/1/1900 9:20,Yes,To go to class,5,50,Yes,UTown,IT / CLB,D1,Sunny,50,3,9,10,3,6,8,6
92,Jose Pollard,josepollard@example.com,Year 3,data science and analytics,4/10/2024,1/1/1900 9:20,No,To go to class,3,30,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,Sunny,15,6,6,3,8,8,9,8
93,Nicole Brown,nicolebrown@example.com,Year 4,economics,4/10/2024,1/1/1900 10:04,No,To go to class,2,10,No,Kent Ridge MRT / Opp Kent Ridge MRT,UTown,D2,Rainy,20,8,7,8,6,7,7,8
94,George Brewer,georgebrewer@example.net,Year 4,economics,4/10/2024,1/1/1900 9:12,No,To go to CCA sessions,4,12,No,LT27 / S17,UHC / Opp UHC,A1,Sunny,5,6,6,4,7,7,8,8
95,Brandon Martinez,brandonmartinez@example.net,Year 1,sociology,4/10/2024,1/1/1900 9:30,Yes,To go to class,4,10,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A2,Sunny,15,5,5,7,5,5,4,4
96,Destiny Holmes,destinyholmes@example.com,Year 1,data science and analytics,4/10/2024,1/1/1900 9:30,No,To go to class,1,10,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A2,Sunny,10,8,5,7,5,4,5,4
97,Janet Ryan,janetryan@example.org,Year 3,data science and analytics,7/10/2024,1/1/1900 9:30,No,To go to class,4,50,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,D2,Sunny,40,20,3,10,1,3,5,2
98,Christopher Rogers,christopherrogers@example.com,Year 3,data science and analytics,7/10/2024,1/1/1900 10:00,No,To go to class,4,20,No,Kent Ridge MRT / Opp Kent Ridge MRT,BIZ2 / Opp HSSML,A2,Sunny,30,6,5,10,1,6,6,5
99,Nicole Parks,nicoleparks@example.com,Year 3,data science and analytics,7/10/2024,1/1/1900 9:45,No,To go to class,4,10,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,A1,Sunny,25,11,5,10,3,3,6,5
100,Scott Perry,scottperry@example.org,Year 1,"politics, philosophy, economics",7/10/2024,1/1/1900 9:40,Yes,To go to class,2,20,No,UTown,LT13 / Ventus,D1,Sunny,20,3,6,8,4,5,10,7
101,Edward Hernandez,edwardhernandez@example.org,Year 3,business analytics,7/10/2024,1/1/1900 10:00,No,To go to class,3,30,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,A1,Sunny,40,3,6,9,8,8,8,6
102,Belinda Finley,belindafinley@example.net,Year 1,chemistry,7/10/2024,1/1/1900 7:49,No,To go to class,4,12,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,D2,Sunny,16,3,7,6,6,6,8,8
103,Kevin Fisher,kevinfisher@example.net,Year 2,psychology,7/10/2024,1/1/1900 9:15,No,To go to class,2,25,No,Kent Ridge MRT / Opp Kent Ridge MRT,UTown,D2,Sunny,30,3,8,4,7,8,9,8
104,Joseph Patterson,josephpatterson@example.com,Year 2,life sciences,7/10/2024,1/1/1900 10:06,No,To go to class,4,20,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,Sunny,18,5,3,4,8,6,10,9
105,Julie Wright,juliewright@example.com,Year 3,data science and analytics,7/10/2024,1/1/1900 11:45,No,To go to class,4,30,No,Kent Ridge MRT / Opp Kent Ridge MRT,COM3,D2,Sunny,20,5,7,7,5,6,8,6
106,David Grant,davidgrant@example.org,Year 3,chemistry,7/10/2024,1/1/1900 18:00,No,To go to class,6,30,Yes,UHC / Opp UHC,UTown,D2,Sunny,20,10,4,10,3,6,8,4
107,Anthony Foster,anthonyfoster@example.com,Year 1,life sciences,7/10/2024,1/1/1900 10:00,Yes,To go to class,2,10,Yes,UTown,LT27 / S17,D2,Sunny,20,10,3,8,4,4,3,4
108,Carlos Mills,carlosmills@example.net,Year 1,mathematics,7/10/2024,1/1/1900 7:30,Yes,To go to MRT,2,10,Yes,UTown,UHC / Opp UHC,D2,Sunny,10,10,3,3,7,6,6,6
109,Heather Hale,heatherhale@example.com,Year 2,law,7/10/2024,1/1/1900 12:00,No,To go to class,5,60,No,UTown,PGP,D2,Sunny,20,5,8,7,5,6,7,7
110,Jessica Brock,jessicabrock@example.net,Year 3,dentistry,7/10/2024,1/1/1900 8:30,No,To go to class,2,30,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,Sunny,15,5,9,3,9,8,9,9
111,Robert Williams,robertwilliams@example.com,Year 2,dentistry,7/10/2024,1/1/1900 8:00,No,To go to class,2,10,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,Sunny,15,8,3,8,3,6,9,5
112,John Welch,johnwelch@example.org,Year 3,nursing,7/10/2024,1/1/1900 7:30,Yes,To go to class,2,40,No,LT13 / Ventus,LT27 / S17,A1,Sunny,20,5,7,4,8,9,10,9
113,Frederick Smith,fredericksmith@example.org,Year 4,food science and technology,8/10/2024,1/1/1900 14:15,No,To go to class,1,10,No,UTown,LT27 / S17,D2,Sunny,20,5,7,8,5,5,7,6
114,Jonathon Williams,jonathonwilliams@example.com,Year 3,data science and analytics,8/10/2024,1/1/1900 11:20,No,To go to MRT,4,40,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,A1,Rainy,30,3,8,7,4,5,7,6
115,Andrew Johnson,andrewjohnson@example.net,Year 3,data science and analytics,8/10/2024,1/1/1900 16:00,No,To go to class,4,35,Yes,LT13 / Ventus,Kent Ridge MRT / Opp Kent Ridge MRT,A1,Sunny,35,5,6,9,3,3,7,5
116,Rachel Thomas,rachelthomas@example.com,Year 2,industrial systems engineering,8/10/2024,1/1/1900 7:45,Yes,To go to class,4,6,No,UHC / Opp UHC,IT / CLB,A1,Sunny,5,4,7,3,10,10,10,8
117,Karen Berry,karenberry@example.com,Year 4,anthropology,8/10/2024,1/1/1900 9:30,No,To go to class,2,8,No,UTown,LT13 / Ventus,D1,Sunny,25,9,4,7,5,5,4,4
118,Taylor Griffith,taylorgriffith@example.org,Year 2,life sciences,8/10/2024,1/1/1900 11:15,No,To go to class,2,10,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,A1,Sunny,20,7,7,5,6,6,6,6
